qid;query;system;rank_in_system;doc_id;score;tokens;expansions;expanded_query;title;url;relevance 1;relevance 2;relevance 3;relevance
1;prediksi harga saham dengan machine learning;BM25_QE;2;3881;;;;prediksi harga saham dengan machine learning;KLASIFIKASI DIABETES MENGGUNAKAN ALGORITMA SUPPORT VECTOR MACHINE RADIAL BASIS FUNCTION;https://repository.upnjatim.ac.id/20595/;0;0;0;0
1;prediksi harga saham dengan machine learning;SEM_FT_QE;5;12293;0.6753054857254028;prediksi harga saham dengan machine learning;return imbal idx30 ihsg lq45 dps investor vector support svm;prediksi harga saham dengan machine learning return imbal idx30 ihsg lq45 dps investor vector support svm;Prediksi Risiko Kerugian Saham Menggunakan Model Arima Fungsi Transfer Dan VaR (Studi Kasus: PT Astra International Tbk);https://repository.upnjatim.ac.id/43765/;1;2;1;1
1;prediksi harga saham dengan machine learning;SEM_BASE_QE;5;8847;0.6288197040557861;prediksi harga saham dengan machine learning;return imbal idx30 ihsg lq45 dps investor vector support svm;prediksi harga saham dengan machine learning return imbal idx30 ihsg lq45 dps investor vector support svm;PREDIKSI HARGA DAN RISIKO KERUGIAN SAHAM BLUE CHIP MENGGUNAKAN GATED RECURRENT UNIT DAN VALUE AT RISK;https://repository.upnjatim.ac.id/35572/;2;2;2;2
1;prediksi harga saham dengan machine learning;BM25_QE;5;2954;;;;prediksi harga saham dengan machine learning;PREDIKSI HASIL PANEN BUDIDAYA IKAN LELE DARI MITRA PANEN MENGGUNAKAN ALGORITMA SUPPORT VECTOR REGRESSION (Studi Kasus : PT. Adma Digital Solusi);https://repository.upnjatim.ac.id/18778/;0;0;0;0
1;prediksi harga saham dengan machine learning;SEM_FT_QE;14;9210;0.6452674269676208;prediksi harga saham dengan machine learning;return imbal idx30 ihsg lq45 dps investor vector support svm;prediksi harga saham dengan machine learning return imbal idx30 ihsg lq45 dps investor vector support svm;Prediksi Harga dan Pengukuran Risiko Saham Menggunakan Exponential Smooth Transition Autoregressive (ESTAR) dan Value at Risk (VaR) Berbasis GUI;https://repository.upnjatim.ac.id/36512/;1;2;1;1
1;prediksi harga saham dengan machine learning;SEM_FT;14;10073;0.5833547115325928;;;prediksi harga saham dengan machine learning;PENGARUH KINERJA KEUANGAN TERHADAP HARGA SAHAM PADA PERUSAHAAN PROVIDER YANG TERDAFTAR DI BURSA EFEK INDONESIA TAHUN 2015 - 2018;https://repository.upnjatim.ac.id/3845/;0;0;0;0
1;prediksi harga saham dengan machine learning;SEM_BASE_QE;1;10866;0.6784840822219849;prediksi harga saham dengan machine learning;return imbal idx30 ihsg lq45 dps investor vector support svm;prediksi harga saham dengan machine learning return imbal idx30 ihsg lq45 dps investor vector support svm;ANALISIS VALUASI NILAI WAJAR SAHAM MENGGUNAKAN DIVIDEND DISCOUNT MODEL (DDM), PRICE EARNING RATIO (PER), DAN PRICE TO BOOK VALUE (PBV) UNTUK DASAR PENGAMBILAN KEPUTUSAN INVESTASI (STUDI PADA EMITEN YANG TERDAFTAR DI INDEKS LQ45 PERIODE 2017 - 2019);https://repository.upnjatim.ac.id/4001/;0;1;0;0
1;prediksi harga saham dengan machine learning;BM25_QE;3;8191;;;;prediksi harga saham dengan machine learning;ANALISIS KINERJA SAHAM LQ45 SELAMA PANDEMI COVID-19;https://repository.upnjatim.ac.id/3336/;0;0;0;0
1;prediksi harga saham dengan machine learning;SEM_BASE_QE;3;2841;0.656862735748291;prediksi harga saham dengan machine learning;return imbal idx30 ihsg lq45 dps investor vector support svm;prediksi harga saham dengan machine learning return imbal idx30 ihsg lq45 dps investor vector support svm;ANALISIS HARGA SAHAM PERUSAHAAN PERBANKAN YANG TERDAFTAR DI BURSA EFEK INDONESIA;https://repository.upnjatim.ac.id/18308/;0;0;0;0
1;prediksi harga saham dengan machine learning;BM25_QE;4;2762;;;;prediksi harga saham dengan machine learning;Komparasi Performa Algoritma Convolutional Neural Network (CNN) dan Support Vector Machine (SVM) pada Studi Kasus Klasifikasi Penyakit Alzheimer berbasis Data MRI;https://repository.upnjatim.ac.id/18147/;0;0;0;0
