qid;query;system;rank_in_system;doc_id;score;tokens;expansions;expanded_query;title;url;relevance 1;relevance 2;relevance 3;relevance
1;audit internal;SEM_BASE;7;5641;0.5644677877;;;audit internal;Pengaruh Reputasi Auditor, Rotasi Auditor, dan Komite Audit Terhadap Kualitas Audit (Studi Empiris pada Perusahaan Manufaktur SubSektor Industri Food and Beverage yang Terdaftar di Bursa Efek Indonesia Tahun 2019-2022);https://repository.upnjatim.ac.id/25552/;1;2;1;1
1;audit internal;SEM_BASE;2;9391;0.5954339504;;;audit internal;DETERMINAN AUDIT REPORT LAG PADA PERUSAHAAN CONSUMER CYCLICALS DI BURSA EFEK INDONESIA TAHUN 2022-2023;https://repository.upnjatim.ac.id/37113/;1;1;1;1
1;audit internal;SEM_BASE_QE;8;5003;0.5784136653;audit internal;tenure auditor lag going independensi komite concern judgment kap eksternal;audit internal tenure auditor lag going independensi komite concern judgment kap eksternal;Peran Pengungkapan ESG dalam Memediasi Pengaruh Dewan Direksi dan Komite Audit Terhadap Kinerja BUMN;https://repository.upnjatim.ac.id/23874/;1;1;1;1
1;audit internal;BM25_QE;10;10050;;;;audit internal;FAKTOR FAKTOR YANG MEMPENGARUHI OPINI AUDIT DENGAN PARAGRAF PENJELAS GOING CONCERN PADA PERUSAHAAN JASA NON KEUANGAN YANG TERDAFTAR DI BURSA EFEK INDONESIA (BEI) Periode 2017-2019;https://repository.upnjatim.ac.id/3842/;2;2;1;2
1;audit internal;SEM_FT_QE;3;10974;0.6373645663;audit internal;tenure auditor lag going independensi komite concern judgment kap eksternal;audit internal tenure auditor lag going independensi komite concern judgment kap eksternal;Pengaruh Skeptisme dan Pengalaman Auditor Terhadap Audit Judgement;https://repository.upnjatim.ac.id/40281/;2;2;1;2
1;audit internal;SEM_FT;12;14737;0.6176987886;;;audit internal;ANALISIS KUALITAS AUDIT MELALUI INDEPENDENSI, KOMPETENSI, DAN INTEGRITAS (STUDI PADA KANTOR AKUNTAN PUBLIK DI SURABAYA TAHUN 2016 - 2018);https://repository.upnjatim.ac.id/847/;1;1;1;1
1;audit internal;SEM_FT_QE;5;7183;0.6239677072;audit internal;tenure auditor lag going independensi komite concern judgment kap eksternal;audit internal tenure auditor lag going independensi komite concern judgment kap eksternal;Pengaruh Afiliasi KAP Big Four dan Komite Audit Terhadap Integritas Laporan Keuangan (Studi Kasus Industri Sektor Perbankan Pada BEI Periode 2020-2023);https://repository.upnjatim.ac.id/29485/;2;2;1;2
1;audit internal;SEM_BASE_QE;11;4713;0.5546773076;audit internal;tenure auditor lag going independensi komite concern judgment kap eksternal;audit internal tenure auditor lag going independensi komite concern judgment kap eksternal;Pengaruh Self-Efficacy, Tekanan Ketaatan, Kompleksitas Tugas dan Pengalaman Auditor terhadap Audit Judgment Pada BPK RI Perwakilan Provinsi Jawa Timur;https://repository.upnjatim.ac.id/23316/;2;2;1;2
1;audit internal;SEM_BASE_QE;4;4676;0.5935109854;audit internal;tenure auditor lag going independensi komite concern judgment kap eksternal;audit internal tenure auditor lag going independensi komite concern judgment kap eksternal;Pengaruh Audit Tenure, Audit Fee, Ukuran Perusahaan, Dan Auditor Switching Terhadap Audit Report Lag Dan Kualitas Audit Pada Perusahaan Property & Real Estate Yang Terdaftar di BEI Tahun 2018-2022;https://repository.upnjatim.ac.id/23248/;1;1;1;1
1;audit internal;SEM_BASE_QE;6;10045;0.5851057768;audit internal;tenure auditor lag going independensi komite concern judgment kap eksternal;audit internal tenure auditor lag going independensi komite concern judgment kap eksternal;PENGARUH REPUTASI KAP, AUDIT TENURE DAN AUDITOR SWITCHING TERHADAP KUALITAS AUDIT DENGAN AUDIT FEE SEBAGAI VARIABEL MODERASI PADA PERUSAHAAN MANUFAKTUR YANG TERDAFTAR DI BURSA EFEK INDONESIA;https://repository.upnjatim.ac.id/3841/;1;1;1;1
